Šifra NKS;Puno ime NKS;Naziv NKS
C.2.2.5.1.;C.2.2.5.1. Livade rosulje i divljeg ječma;Livade rosulje i divljeg ječma
C.2.3.;C.2.3. Mezofilne livade Srednje Europe;Mezofilne livade Srednje Europe
C.2.3.1.;C.2.3.1. Umjereno vlažne livade;Umjereno vlažne livade
C.2.3.1.1.;C.2.3.1.1. Livade ljulja i trave krestac;Livade ljulja i trave krestac
C.2.3.1.2.;C.2.3.1.2. Livade grozdastog ovsika i trave krestac;Livade grozdastog ovsika i trave krestac
C.2.3.1.3.;C.2.3.1.3. Zajednica višegodišnjeg ljulja;Zajednica višegodišnjeg ljulja
C.2.3.2.;C.2.3.2. Mezofilne livade košanice Srednje Europe;Mezofilne livade košanice Srednje Europe
C.2.3.2.1.;C.2.3.2.1. Srednjoeuropske livade rane pahovke;Srednjoeuropske livade rane pahovke
C.2.3.2.2.;C.2.3.2.2. Livade zečjeg trna i rane pahovke;Livade zečjeg trna i rane pahovke
C.2.3.2.3.;C.2.3.2.3. Livade brdske zečine i rane pahovke;Livade brdske zečine i rane pahovke
C.2.3.2.4.;C.2.3.2.4. Livade gomoljaste končare i rane pahovke;Livade gomoljaste končare i rane pahovke
C.2.3.2.5.;C.2.3.2.5. Livade šuškavca i končare;Livade šuškavca i končare
C.2.3.2.6.;C.2.3.2.6. Livade crvene vlasulje i obične rosulje;Livade crvene vlasulje i obične rosulje
C.2.3.2.7.;C.2.3.2.7. Nizinske košanice sa ljekovitom krvarom;Nizinske košanice sa ljekovitom krvarom
C.2.3.2.8.;C.2.3.2.8. Livade talijanskog (ili višecvjetnog) ljulja;Livade talijanskog (ili višecvjetnog) ljulja
C.2.3.2.9.;C.2.3.2.9. Livade lukovičastog žabnjaka i rane pahovke;Livade lukovičastog žabnjaka i rane pahovke
C.2.3.2.10.;C.2.3.2.10. Livade vunenaste medunike;Livade vunenaste medunike
C.2.3.3.;C.2.3.3. Srednjoeuropske brdske košanice;Srednjoeuropske brdske košanice
C.2.3.3.1.;C.2.3.3.1. Livade vrkutâ i žućkaste zobike;Livade vrkutâ i žućkaste zobike
C.2.4.;C.2.4. Vlažni, nitrofilni travnjaci i pašnjaci;Vlažni, nitrofilni travnjaci i pašnjaci
C.2.4.1.;C.2.4.1. Nitrofilni pašnjaci i livade-košanice nizinskog vegetacijskog pojasa;Nitrofilni pašnjaci i livade-košanice nizinskog vegetacijskog pojasa
C.2.4.1.1.;C.2.4.1.1. Pašnjak gušće petoprste;Pašnjak gušće petoprste
C.2.4.1.2.;C.2.4.1.2. Travnjaci sitova i dugolisne metvice;Travnjaci sitova i dugolisne metvice
C.2.4.1.3.;C.2.4.1.3. Travnjaci grpka i puzave rosulje;Travnjaci grpka i puzave rosulje
C.2.4.1.4.;C.2.4.1.4. Livade djeteline i puzave rosulje;Livade djeteline i puzave rosulje
C.2.4.1.5.;C.2.4.1.5. Livade kovrčave kiselice i koljenčastog repka;Livade kovrčave kiselice i koljenčastog repka
C.2.5.;C.2.5. Vlažne livade submediteranske vegetacijske zone;Vlažne livade submediteranske vegetacijske zone
C.2.5.1.;C.2.5.1. Ilirsko-submediteranske livade rječnih dolina;Ilirsko-submediteranske livade rječnih dolina
C.2.5.1.1.;C.2.5.1.1. Livade-košanice obične beskoljenke i panonskog grašara;Livade-košanice obične beskoljenke i panonskog grašara
C.2.5.1.2.;C.2.5.1.2. Livade divljeg ječma i bubuljičaste vlasnjače;Livade divljeg ječma i bubuljičaste vlasnjače
C.2.5.1.3.;C.2.5.1.3. Livade močvarne trbulje i gomoljastog repka;Livade močvarne trbulje i gomoljastog repka
C.2.5.1.4.;C.2.5.1.4. Livade kožastog smudnjaka i primorske beskoljenke;Livade kožastog smudnjaka i primorske beskoljenke
C.2.5.1.5.;C.2.5.1.5. Livade djetelinâ i divljeg ječma;Livade djetelinâ i divljeg ječma
C.2.5.1.6.;C.2.5.1.6. Livade sitne busike s livadnim procjepkom;Livade sitne busike s livadnim procjepkom
C.2.5.2.;C.2.5.2. Heleno-mezijske poplavne i vlažne livade;Heleno-mezijske poplavne i vlažne livade
C.2.5.2.1.;C.2.5.2.1. Livade žabnjaka i mješinastog repka;Livade žabnjaka i mješinastog repka
C.2.6.;C.2.6. Mezofilne gažene površine šumskih puteva;Mezofilne gažene površine šumskih puteva
C.2.6.1.;C.2.6.1. Gažene površine šumskih puteva;Gažene površine šumskih puteva
C.2.6.1.1.;C.2.6.1.1. Zajednica obične celinščice i puzavog žabnjaka;Zajednica obične celinščice i puzavog žabnjaka
C.3.;C.3. Suhi travnjaci;Suhi travnjaci
C.3.1.;C.3.1. Subkontinentalni suhi travnjaci;Subkontinentalni suhi travnjaci
C.3.1.1.;C.3.1.1. Subpanonski travnjaci vlasulje-stjenjače;Subpanonski travnjaci vlasulje-stjenjače
C.3.1.1.1.;C.3.1.1.1. Travnjaci šiljke i kršina;Travnjaci šiljke i kršina
C.3.2.;C.3.2. Kontinentalne sipine;Kontinentalne sipine
C.3.2.1.;C.3.2.1. Panonski otvoreni travnjaci na pijescima;Panonski otvoreni travnjaci na pijescima
C.3.2.1.1.;C.3.2.1.1. Travnjak duguljaste gladice i vlasulje bradice;Travnjak duguljaste gladice i vlasulje bradice
C.3.3.;C.3.3. Subatlantski mezofilni travnjaci i brdske livade na karbonatnim tlima;Subatlantski mezofilni travnjaci i brdske livade na karbonatnim tlima
C.3.3.1.;C.3.3.1. Brdske livade uspravnog ovsika na karbonatnoj podlozi;Brdske livade uspravnog ovsika na karbonatnoj podlozi
C.3.3.1.1.;C.3.3.1.1. Travnjaci uspravnog ovsika i srednjeg trpuca;Travnjaci uspravnog ovsika i srednjeg trpuca
C.3.3.1.2.;C.3.3.1.2. Travnjak uspravnog ovsika i jednoklase šiljke;Travnjak uspravnog ovsika i jednoklase šiljke
C.3.3.1.3.;C.3.3.1.3. Travnjak sjetvene grahorke i uspravnog ovsika;Travnjak sjetvene grahorke i uspravnog ovsika
C.3.3.1.4.;C.3.3.1.4. Travnjaci nježne smilice i kamenjarske kostrice;Travnjaci nježne smilice i kamenjarske kostrice
C.3.3.1.5.;C.3.3.1.5. Travnjak ilirske sabljice i primorske beskoljenke;Travnjak ilirske sabljice i primorske beskoljenke
C.3.3.1.6.;C.3.3.1.6. Travnjak glavulje i kršina;Travnjak glavulje i kršina
C.3.3.1.7.;C.3.3.1.7. Travnjaci kalničke šašike;Travnjaci kalničke šašike
C.3.4.;C.3.4. Europske suhe vrištine i travnjaci trave tvrdače;Europske suhe vrištine i travnjaci trave tvrdače
C.3.4.1.;C.3.4.1. Zapadnoeuropske vrištine;Zapadnoeuropske vrištine
C.3.4.1.1.;C.3.4.1.1. Ličke vrištine;Ličke vrištine
C.3.4.1.2.;C.3.4.1.2. Bujadnice;Bujadnice
C.3.4.2.;C.3.4.2. Travnjaci trave tvrdače;Travnjaci trave tvrdače
C.3.4.2.1.;C.3.4.2.1. Travnjak trave tvrdače;Travnjak trave tvrdače
C.3.4.3.;C.3.4.3. Travnjaci vlasaste vlasulje;Travnjaci vlasaste vlasulje
C.3.4.3.1.;C.3.4.3.1. Zajednica vlasaste vlasulje;Zajednica vlasaste vlasulje
C.3.4.3.2.;C.3.4.3.2. Travnjak uzdignute beskoljenke i dimka;Travnjak uzdignute beskoljenke i dimka
C.3.5.;C.3.5. Submediteranski i epimediteranski suhi travnjaci;Submediteranski i epimediteranski suhi travnjaci
C.3.5.1.;C.3.5.1. Istočnojadranski kamenjarski pašnjaci submediteranske zone;Istočnojadranski kamenjarski pašnjaci submediteranske zone
C.3.5.1.1.;C.3.5.1.1. Kamenjarski pašnjak sjajne smilice i kamenjarske vlasulje;Kamenjarski pašnjak sjajne smilice i kamenjarske vlasulje
C.3.5.1.2.;C.3.5.1.2. Jadranske kamenjare kadulje i kovilja;Jadranske kamenjare kadulje i kovilja
C.3.5.1.3.;C.3.5.1.3. Kamenjarski pašnjak čepljeza i kršina;Kamenjarski pašnjak čepljeza i kršina
C.3.5.1.4.;C.3.5.1.4. Kamenjara smilja i babosvilke;Kamenjara smilja i babosvilke
C.3.5.1.5.;C.3.5.1.5. Kamenjare sunovrata i čepljeza;Kamenjare sunovrata i čepljeza
C.3.5.1.6.;C.3.5.1.6. Kamenjara primorskog vriska i vlaske;Kamenjara primorskog vriska i vlaske
C.3.5.1.7.;C.3.5.1.7. Kamenjarski pašnjak uspravnog ovsika i jadranske vlasulje;Kamenjarski pašnjak uspravnog ovsika i jadranske vlasulje
C.3.5.1.8.;C.3.5.1.8. Travnjaci vlasulja;Travnjaci vlasulja
C.3.5.2.;C.3.5.2. Istočnojadranski kamenjarski pašnjaci epimediteranske zone;Istočnojadranski kamenjarski pašnjaci epimediteranske zone
C.3.5.2.1.;C.3.5.2.1. Kamenjarski pašnjak šaša crljenike i žute kraške zečine;Kamenjarski pašnjak šaša crljenike i žute kraške zečine
C.3.5.2.2.;C.3.5.2.2. Travnjaci uskolisne šašike i šaša crljenike;Travnjaci uskolisne šašike i šaša crljenike
C.3.5.2.3.;C.3.5.2.3. Kamenjare uspravnog ovsika i isprekidane šašike;Kamenjare uspravnog ovsika i isprekidane šašike
C.3.5.2.4.;C.3.5.2.4. Kamenjare primorskog kovilja i šaša crljenike;Kamenjare primorskog kovilja i šaša crljenike
C.3.5.2.5.;C.3.5.2.5. Kamenjara crvenog primorskog vriska i šaša crljenike;Kamenjara crvenog primorskog vriska i šaša crljenike
C.3.5.2.6.;C.3.5.2.6. Kamenjare kadulje i isprekidane šašike;Kamenjare kadulje i isprekidane šašike
C.3.5.2.7.;C.3.5.2.7. Kamenjarski travnjak biokovskog kozlinca i velike šašike;Kamenjarski travnjak biokovskog kozlinca i velike šašike
C.3.5.2.8.;C.3.5.2.8. Kamenjare prizemnog ušljivca i šaša crljenike;Kamenjare prizemnog ušljivca i šaša crljenike
C.3.5.2.9.;C.3.5.2.9. Kamenjare uskolisne žutilovke i šiljastog šaša;Kamenjare uskolisne žutilovke i šiljastog šaša
C.3.5.2.10.;C.3.5.2.10. Kamenjare vlasaste mišjakinjice i kamenjarske žutilovke;Kamenjare vlasaste mišjakinjice i kamenjarske žutilovke
C.3.5.2.11.;C.3.5.2.11. Zajednica vriska i travolisnog zvonca;Zajednica vriska i travolisnog zvonca
C.3.5.2.12.;C.3.5.2.12. Travnjak šaša crljenike i purpurne zečine;Travnjak šaša crljenike i purpurne zečine
C.3.5.3.;C.3.5.3. Travnjaci vlasastog zmijka;Travnjaci vlasastog zmijka
C.3.5.3.1.;C.3.5.3.1. Livade i pašnjaci šiljke i vlasastog zmijka;Livade i pašnjaci šiljke i vlasastog zmijka
C.3.5.3.2.;C.3.5.3.2. Travnjaci mlječike i kršina;Travnjaci mlječike i kršina
C.3.5.3.3.;C.3.5.3.3. Travnjaci primorskog zečjeg trna;Travnjaci primorskog zečjeg trna
C.3.5.3.4.;C.3.5.3.4. Travnjaci zmijka i pjegavog jastrebljaka;Travnjaci zmijka i pjegavog jastrebljaka
C.3.5.3.5.;C.3.5.3.5. Travnjak uspravnog ovsika i brdskog šaša;Travnjak uspravnog ovsika i brdskog šaša
C.3.5.3.6.;C.3.5.3.6. Travnjaci vlaske i krutovlatke;Travnjaci vlaske i krutovlatke
C.3.5.3.7.;C.3.5.3.7. Travnjaci sivkaste babine svile i vlasuljâ;Travnjaci sivkaste babine svile i vlasuljâ
C.3.5.3.8.;C.3.5.3.8. Travnjaci ilirske vlasulje i gomoljaste vlasnjače;Travnjaci ilirske vlasulje i gomoljaste vlasnjače
C.3.6.;C.3.6. Kamenjarski pašnjaci i suhi travnjaci eu- i stenomediterana;Kamenjarski pašnjaci i suhi travnjaci eu- i stenomediterana
C.3.6.1.;C.3.6.1. Eu- i stenomediteranski kamenjarski pašnjaci raščice;Eu- i stenomediteranski kamenjarski pašnjaci raščice
C.3.6.1.1.;C.3.6.1.1. Kamenjare raščice i dlakave oštre vlaske;Kamenjare raščice i dlakave oštre vlaske
C.3.6.1.2.;C.3.6.1.2. Kamenjare raščice i zvjezdaste djeteline;Kamenjare raščice i zvjezdaste djeteline
C.3.6.1.3.;C.3.6.1.3. Zasjenjeni travnjak prosuljastog ščevara;Zasjenjeni travnjak prosuljastog ščevara
C.3.6.1.4.;C.3.6.1.4. Travnjaci zupčice;Travnjaci zupčice
C.3.6.1.5.;C.3.6.1.5. Sastojine ravenskog sladorovca ;Sastojine ravenskog sladorovca 
C.3.6.2.;C.3.6.2. Jadranski travnjaci brčka;Jadranski travnjaci brčka
C.3.6.2.1.;C.3.6.2.1. Travnjak primorske rosulje;Travnjak primorske rosulje
C.3.6.2.2.;C.3.6.2.2. Travnjaci kršina i metlače;Travnjaci kršina i metlače
C.3.6.2.3.;C.3.6.2.3. Travnjaci žute ptičje noge i mišjeg brčka;Travnjaci žute ptičje noge i mišjeg brčka
C.3.6.2.4.;C.3.6.2.4. Travnjaci trbušaste gnjidače i raščice;Travnjaci trbušaste gnjidače i raščice
C.3.6.2.5.;C.3.6.2.5. Travnjaci ščetinca i helerove djeteline;Travnjaci ščetinca i helerove djeteline
C.3.6.2.6.;C.3.6.2.6. Travnjaci vlasastog pira i mačice;Travnjaci vlasastog pira i mačice
C.3.6.2.7.;C.3.6.2.7. Travnjak djetelina i kamenjarske kostrike;Travnjak djetelina i kamenjarske kostrike
C;C Panonski slani travnjaci (Puccinelion limosae);Panonski slani travnjaci (Puccinelion limosae)
C.3.7.1.;C.3.7.1. Zajednica jednogodišnje kafranke ;Zajednica jednogodišnje kafranke 
C.4.;C.4. Rudine;Rudine
C.4.1.;C.4.1. Planinske rudine;Planinske rudine
C.4.1.1.;C.4.1.1. Ilirsko-dinarske planinske rudine uskolisne šašike;Ilirsko-dinarske planinske rudine uskolisne šašike
C.4.1.1.1.;C.4.1.1.1. Rudine uskolisne šašike i oštrog šaša;Rudine uskolisne šašike i oštrog šaša
C.4.1.1.2.;C.4.1.1.2. Planinske rudine vazdazelenog šaša i uskolisne šašike;Planinske rudine vazdazelenog šaša i uskolisne šašike
C.4.1.1.3.;C.4.1.1.3. Planinske rudine kitajbelovog šaša i alpske sunčanice;Planinske rudine kitajbelovog šaša i alpske sunčanice
C.4.1.1.4.;C.4.1.1.4. Planinske rudine kitajbelovog šaša i balkanske sunčanice;Planinske rudine kitajbelovog šaša i balkanske sunčanice
C.4.1.1.5.;C.4.1.1.5. Planinske rudine biokovskog zvonca i uskolisne šašike;Planinske rudine biokovskog zvonca i uskolisne šašike
C.4.1.2.;C.4.1.2. Pretplaninske rudine oštre vlasulje;Pretplaninske rudine oštre vlasulje
C.4.1.2.1.;C.4.1.2.1. Rudine oštre vlasulje;Rudine oštre vlasulje
C.4.1.2.2.;C.4.1.2.2. Travnjaci dugodlake smilice i ljubičaste vlasulje;Travnjaci dugodlake smilice i ljubičaste vlasulje
C.4.1.3.;C.4.1.3. Rudine hrđastog šaša;Rudine hrđastog šaša
C.4.1.3.1.;C.4.1.3.1. Rudine planinske pljuskavice i hrđastog šaša;Rudine planinske pljuskavice i hrđastog šaša
C.4.1.3.2.;C.4.1.3.2. Rudina šašuljice i zelene zečine;Rudina šašuljice i zelene zečine
C.5.;C.5. Visoke zeleni;Visoke zeleni
C.5.1.;C.5.1. Šumski rubovi;Šumski rubovi
C.5.1.1.;C.5.1.1. Termofilni šumski rubovi crvene iglice;Termofilni šumski rubovi crvene iglice
C.5.1.1.1.;C.5.1.1.1. Zajednica crvene iglice i jelenske pukovice;Zajednica crvene iglice i jelenske pukovice
C.5.1.1.2.;C.5.1.1.2. Zajednica crvene iglice i velike šumarice;Zajednica crvene iglice i velike šumarice
C.5.1.2.;C.5.1.2. Kserotermofilne zajednice šumskih rubova;Kserotermofilne zajednice šumskih rubova
C.5.1.2.1.;C.5.1.2.1. Zajednica panonskog osjaka i jelenske pukovice;Zajednica panonskog osjaka i jelenske pukovice
C.5.1.2.2.;C.5.1.2.2. Zajednica mrkvastog zdravinjka i gorskog gladca;Zajednica mrkvastog zdravinjka i gorskog gladca
C.5.1.2.3.;C.5.1.2.3. Zajednica barelijereve i žakenove čestoslavice;Zajednica barelijereve i žakenove čestoslavice
C.5.1.2.4.;C.5.1.2.4. Zajednica osjaka i uspravne vinjage;Zajednica osjaka i uspravne vinjage
C.5.1.2.5.;C.5.1.2.5. Zajednica vlasnatog zmijka i planinske djeteline;Zajednica vlasnatog zmijka i planinske djeteline
C.5.1.2.6.;C.5.1.2.6. Zajednica ilirske prženice i pršljenastog doljana;Zajednica ilirske prženice i pršljenastog doljana
C.5.1.3.;C.5.1.3. Mezofilni šumski rubovi srednje djeteline;Mezofilni šumski rubovi srednje djeteline
C.5.1.3.1.;C.5.1.3.1. Zajednica srednje djeteline i obične turice;Zajednica srednje djeteline i obične turice
C.5.2.;C.5.2. Šumske čistine;Šumske čistine
C.5.2.1.;C.5.2.1. Zajednice šumskih čistina;Zajednice šumskih čistina
C.5.2.1.1.;C.5.2.1.1. Šumske čistine velebilja;Šumske čistine velebilja
C.5.2.1.2.;C.5.2.1.2. Šumske čistine uskolisnog lupreja;Šumske čistine uskolisnog lupreja
C.5.2.1.3.;C.5.2.1.3. Šumske čistine, rubovi šumskih putova;Šumske čistine, rubovi šumskih putova
C.5.3.;C.5.3. Pretplaninska i planinska vegetacija visokih zeleni;Pretplaninska i planinska vegetacija visokih zeleni
C.5.3.1.;C.5.3.1. Pretplaninske zajednice visokih zeleni;Pretplaninske zajednice visokih zeleni
C.5.3.1.1.;C.5.3.1.1. Dinarska zajednica ljepike i austrijskog zmijka;Dinarska zajednica ljepike i austrijskog zmijka
C.5.3.1.2.;C.5.3.1.2. Zajednica strička i jedića;Zajednica strička i jedića
C.5.3.1.3.;C.5.3.1.3. Zajednica gladca;Zajednica gladca
C.5.3.1.4.;C.5.3.1.4. Zajednica planinske zečine i planinskog luka;Zajednica planinske zečine i planinskog luka
C.5.4.;C.5.4. Nizinske zajednice visokih zeleni;Nizinske zajednice visokih zeleni
C.5.4.1.;C.5.4.1. Visoke zeleni s pravom končarom;Visoke zeleni s pravom končarom
C.5.4.1.1.;C.5.4.1.1. Visoke zeleni s pravom končarom;Visoke zeleni s pravom končarom
D.;D. Šikare;Šikare
D.1.;D.1. Kontinentalne šikare;Kontinentalne šikare
D.1.1.;D.1.1. Vrbici na sprudovima;Vrbici na sprudovima
D.1.1.1.;D.1.1.1. Vrbici šljunkovitih i pjeskovitih riječnih sprudova;Vrbici šljunkovitih i pjeskovitih riječnih sprudova
D.1.1.1.1.;D.1.1.1.1. Predalpski vrbici s kebračem;Predalpski vrbici s kebračem
D.1.1.1.2.;D.1.1.1.2. Vrbici pepeljaste i likovaste vrbe;Vrbici pepeljaste i likovaste vrbe
D.1.1.1.3.;D.1.1.1.3. Vrbici pepeljaste vrbe i rakite;Vrbici pepeljaste vrbe i rakite
D.1.1.1.4.;D.1.1.1.4. Predalpski vrbici s pasjim trnom;Predalpski vrbici s pasjim trnom
D.1.1.1.5.;D.1.1.1.5. Vrbici rakite;Vrbici rakite
D.1.2.;D.1.2. Mezofilne živice i šikare kontinentalnih, izuzetno primorskih krajeva;Mezofilne živice i šikare kontinentalnih, izuzetno primorskih krajeva
D.1.2.1.;D.1.2.1. Mezofilne živice i šikare kontinentalnih, izuzetno primorskih krajeva;Mezofilne živice i šikare kontinentalnih, izuzetno primorskih krajeva
D.1.2.1.1.;D.1.2.1.1. Mezofilne šikare i živice brežuljkastog i brdskog vegetacijskog pojasa;Mezofilne šikare i živice brežuljkastog i brdskog vegetacijskog pojasa
D.1.2.1.2.;D.1.2.1.2. Šikare lijeske;Šikare lijeske
D.1.2.1.3.;D.1.2.1.3. Termofilne šikare brdskog vegetacijskog pojasa;Termofilne šikare brdskog vegetacijskog pojasa
D.1.2.1.4.;D.1.2.1.4. Šikare i živice planarnog vegetacijskog pojasa;Šikare i živice planarnog vegetacijskog pojasa
D;D Vrištine bujadnice s običnom borovicom (Juniperus communis);Vrištine bujadnice s običnom borovicom (Juniperus communis)
D.2.;D.2. Pretplaninske šikare;Pretplaninske šikare
D.2.1.;D.2.1. Pretplaninska klekovina;Pretplaninska klekovina
D.2.1.1.;D.2.1.1. Pretplaninska klekovina;Pretplaninska klekovina
D.2.1.1.1.;D.2.1.1.1. Šuma klekovine i borbaševe kozokrvine;Šuma klekovine i borbaševe kozokrvine
D.2.1.1.2.;D.2.1.1.2. Šikare velelisne vrbe;Šikare velelisne vrbe
D.2.1.1.3.;D.2.1.1.3. Šikare dlakavog pjenišnika i klečice;Šikare dlakavog pjenišnika i klečice
D.2.1.1.4.;D.2.1.1.4. Sastojine u kojima dominira medvjetka ;Sastojine u kojima dominira medvjetka 
D.2.1.1.5.;D.2.1.1.5. Sastojine u kojima dominira zrakasta žutilovka ;Sastojine u kojima dominira zrakasta žutilovka 
D.2.1.1.6.;D.2.1.1.6. Sastojine u kojima dominira patuljasta borovica  ;Sastojine u kojima dominira patuljasta borovica  
D.2.2.;D.2.2. Zajednice s kozokrvinom i krkavinom;Zajednice s kozokrvinom i krkavinom
D.2.2.1.;D.2.2.1. Zajednice s kozokrvinom i krkavinom;Zajednice s kozokrvinom i krkavinom
D.2.2.1.1.;D.2.2.1.1. Šikare žestike i ribiza;Šikare žestike i ribiza
D.2.2.1.2.;D.2.2.1.2. Šikara hrvatske žutike i žestike;Šikara hrvatske žutike i žestike
D.2.3.;D.2.3. Sastojine u kojima dominira smrdljiva borovica ;Sastojine u kojima dominira smrdljiva borovica 
D.2.4.;D.2.4. Sastojine u kojima dominira cjelolatična žutilovka ;Sastojine u kojima dominira cjelolatična žutilovka 
D.3.;D.3. Mediteranske šikare;Mediteranske šikare
D.3.1.;D.3.1. Dračici;Dračici
D.3.1.1.;D.3.1.1. Dračici;Dračici
D.3.1.1.1.;D.3.1.1.1. Dračik drače s trnovitom krkavinom;Dračik drače s trnovitom krkavinom
D.3.2.;D.3.2. Termofilne poplavne šikare;Termofilne poplavne šikare
D.3.2.1.;D.3.2.1. Termofilne poplavne šikare;Termofilne poplavne šikare
D.3.2.1.1.;D.3.2.1.1. Termofilne poplavne šikare;Termofilne poplavne šikare
D.3.2.1.2.;D.3.2.1.2. Sastojine metličastog pelina;Sastojine metličastog pelina
D;D Sastojine (Galerije) oleandra;Sastojine (Galerije) oleandra
D.3.3.;D.3.3. Sastojine brnistre;Sastojine brnistre
D.3.3.1.;D.3.3.1. Sastojine brnistre;Sastojine brnistre
D.3.3.1.1.;D.3.3.1.1. Sastojine brnistre;Sastojine brnistre
D.3.4.;D.3.4. Bušici;Bušici
D.3.4.1.;D.3.4.1. Zapadnomediteranski bušici ružmarina;Zapadnomediteranski bušici ružmarina
D.3.4.1.1.;D.3.4.1.1. Bušik ružmarina s mnogocvjetnom resikom;Bušik ružmarina s mnogocvjetnom resikom
D.3.4.2.;D.3.4.2. Istočnojadranski bušici;Istočnojadranski bušici
D.3.4.2.1.;D.3.4.2.1. Bušik pršljenaste resike i kretskog bušinca;Bušik pršljenaste resike i kretskog bušinca
D.3.4.2.2.;D.3.4.2.2. Bušik pršljenaste resike i dalmatinske žutilovke;Bušik pršljenaste resike i dalmatinske žutilovke
D.3.4.2.3.;D.3.4.2.3. Sastojine oštroigličaste borovice ;Sastojine oštroigličaste borovice 
D.3.5.;D.3.5. Ljeti listopadne šikare;Ljeti listopadne šikare
D.3.5.1.;D.3.5.1. Ljeti listopadne šikare;Ljeti listopadne šikare
D.3.5.1.1.;D.3.5.1.1. Sastojine velike vrebine;Sastojine velike vrebine
D.3.5.1.2.;D.3.5.1.2. Sastojine drvenaste mlječike;Sastojine drvenaste mlječike
D.4.;D.4. Šikare alohtonog grmlja;Šikare alohtonog grmlja
D.4.1.;D.4.1. Šikare alohtonog grmlja;Šikare alohtonog grmlja
D.4.1.1.;D.4.1.1. Sastojine čivitnjače;Sastojine čivitnjače
D.4.1.1.1.;D.4.1.1.1. Sastojine čivitnjače;Sastojine čivitnjače
D.4.1.2.;D.4.1.2. Ostale šikare alohtonog grmlja;Ostale šikare alohtonog grmlja
D.4.1.2.1.;D.4.1.2.1. Ostale šikare alohtonog grmlja;Ostale šikare alohtonog grmlja
E.;E. Šume;Šume
E.1.;E.1. Priobalne poplavne šume vrba i topola;Priobalne poplavne šume vrba i topola
E.1.1.;E.1.1. Poplavne šume vrba;Poplavne šume vrba
E.1.1.1.;E.1.1.1. Poplavna šuma bijele i krhke vrbe;Poplavna šuma bijele i krhke vrbe
E.1.1.2.;E.1.1.2. Poplavna šuma bijele vrbe s močvarnom broćikom;Poplavna šuma bijele vrbe s močvarnom broćikom
E.1.1.3.;E.1.1.3. Poplavna šuma vrba i topola;Poplavna šuma vrba i topola
E.1.2.;E.1.2. Poplavne šume topola;Poplavne šume topola
E.1.2.1.;E.1.2.1. Poplavna šuma bijele topole;Poplavna šuma bijele topole
E.1.2.2.;E.1.2.2. Poplavna šuma crne i bijele topole;Poplavna šuma crne i bijele topole
E.1.3.;E.1.3. Šume bijele johe;Šume bijele johe
E.1.3.1.;E.1.3.1. Šuma bijele johe sa zimskom preslicom;Šuma bijele johe sa zimskom preslicom
E.1.3.2.;E.1.3.2. Šuma johe uz gorske potoke;Šuma johe uz gorske potoke
E.2.;E.2. Poplavne šume hrasta lužnjaka, crne johe i poljskog jasena;Poplavne šume hrasta lužnjaka, crne johe i poljskog jasena
E.2.1.;E.2.1. Poplavne šume crne johe i poljskog jasena;Poplavne šume crne johe i poljskog jasena
E.2.1.1.;E.2.1.1. Šuma veza i poljskog jasena;Šuma veza i poljskog jasena
E.2.1.2.;E.2.1.2. Poplavna šuma jasena i johe s razmaknutim šašem;Poplavna šuma jasena i johe s razmaknutim šašem
E.2.1.3.;E.2.1.3. Šuma crne johe s blijedožućkastim šašem;Šuma crne johe s blijedožućkastim šašem
E.2.1.4.;E.2.1.4. Šuma crne johe s trušljom;Šuma crne johe s trušljom
E.2.1.5.;E.2.1.5. Mješovita šuma crne johe i poljskog jasena sa sremzom;Mješovita šuma crne johe i poljskog jasena sa sremzom
E.2.1.6.;E.2.1.6. Šuma crne johe s dugoklasim šašem;Šuma crne johe s dugoklasim šašem
E.2.1.7.;E.2.1.7. Šuma poljskoga jasena s kasnim drijemovcem;Šuma poljskoga jasena s kasnim drijemovcem
E.2.2.;E.2.2. Poplavne šume hrasta lužnjaka;Poplavne šume hrasta lužnjaka
E.2.2.1.;E.2.2.1. Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s rastavljenim šašem);Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s rastavljenim šašem)
E.2.2.2.;E.2.2.2. Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s drhtavim šašem);Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s drhtavim šašem)
E.2.2.3.;E.2.2.3. Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija sa žestiljem);Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija sa žestiljem)
E.2.2.4.;E.2.2.4. Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s običnom grabom);Šuma hrasta lužnjaka s velikom žutilovkom (subasocijacija s običnom grabom)
E.2.2.5.;"E.2.2.5. ""Motovunska šuma"" poljskog jasena i hrasta lužnjaka s visećim šašem";"""Motovunska šuma"" poljskog jasena i hrasta lužnjaka s visećim šašem"
E.3.;E.3. Šume listopadnih hrastova izvan dohvata poplava;Šume listopadnih hrastova izvan dohvata poplava
E.3.1.;E.3.1. Mješovite hrastovo-grabove i čiste grabove šume;Mješovite hrastovo-grabove i čiste grabove šume
E.3.1.1.;E.3.1.1. Šuma hrasta lužnjaka i običnog graba (tipična subasocijacija);Šuma hrasta lužnjaka i običnog graba (tipična subasocijacija)
