Šifra NKS;Puno ime NKS;Naziv NKS
J.2.3.3.;J.2.3.3. Gradske zidine i ostaci starih utvrda;Gradske zidine i ostaci starih utvrda
J.2.3.3.1.;J.2.3.3.1. Pojedinačne zidine i utvrde;Pojedinačne zidine i utvrde
J.2.3.4.;J.2.3.4. Arheološki lokaliteti;Arheološki lokaliteti
J.2.3.4.1.;J.2.3.4.1. Arheološki ostaci pojedinih zgrada;Arheološki ostaci pojedinih zgrada
J.2.3.5.;J.2.3.5. Napuštene zgrade i ruševine;Napuštene zgrade i ruševine
J.2.3.6.;J.2.3.6. Vojni objekti;Vojni objekti
J.2.3.6.1.;J.2.3.6.1. Pojedinačne zgrade vojne namjene;Pojedinačne zgrade vojne namjene
J.2.3.7.;J.2.3.7. Velika gradilišta;Velika gradilišta
J.2.3.7.1.;J.2.3.7.1. Pojedinačne zgrade u izgradnji;Pojedinačne zgrade u izgradnji
J.3.;J.3. Ostale izgrađene negospodarske površine;Ostale izgrađene negospodarske površine
J.3.1.;J.3.1. Izgrađene površine za sport, rekreaciju i razonodu;Izgrađene površine za sport, rekreaciju i razonodu
J.3.1.1.;J.3.1.1. Otvorena kupališta;Otvorena kupališta
J.3.1.2.;J.3.1.2. Netravnati sportski tereni;Netravnati sportski tereni
J.3.1.3.;J.3.1.3. Ostale izgrađene površine za sport, rekreaciju i razonodu;Ostale izgrađene površine za sport, rekreaciju i razonodu
J.3.2.;J.3.2. Groblja;Groblja
J.3.2.1.;J.3.2.1. Groblja kao perivoji;Groblja kao perivoji
J.3.2.1.1.;J.3.2.1.1. Izgrađeni dijelovi groblja;Izgrađeni dijelovi groblja
J.3.2.2.;J.3.2.2. Gradska groblja velike gustoće;Gradska groblja velike gustoće
J.3.2.2.1.;J.3.2.2.1. Izgrađeni dijelovi groblja;Izgrađeni dijelovi groblja
J.3.2.3.;J.3.2.3. Seoska groblja;Seoska groblja
J.3.2.3.1.;J.3.2.3.1. Izgrađeni dijelovi groblja;Izgrađeni dijelovi groblja
J.3.2.4.;J.3.2.4. Napuštena groblja;Napuštena groblja
J.3.2.4.1.;J.3.2.4.1. Izgrađeni dijelovi groblja;Izgrađeni dijelovi groblja
J.3.3.;J.3.3. Izgrađene međe i ograde kultiviranih površina;Izgrađene međe i ograde kultiviranih površina
J.3.3.1.;J.3.3.1. Suhozidi (gromače);Suhozidi (gromače)
J.3.3.2.;J.3.3.2. Zidane ograde;Zidane ograde
J.3.3.3.;J.3.3.3. Drvene ograde (plotovi);Drvene ograde (plotovi)
J.3.3.4.;J.3.3.4. Žičane ograde;Žičane ograde
J.3.3.5.;J.3.3.5. Ostale metalne ograde;Ostale metalne ograde
J.4.;J.4. Gospodarske površine;Gospodarske površine
J.4.1.;J.4.1. Industrijska i obrtnička područja;Industrijska i obrtnička područja
J.4.1.1.;J.4.1.1. Industrijska područja bez zelenih površina;Industrijska područja bez zelenih površina
